19/02/2017,18:45,kurwa,19/02/2017,18:45,Piotr,private
11/07/2017,11:31,kurwa,11/07/2017,11:31,dennis,private
19/12/2017,11:11,kurwa,19/12/2017,11:11,dennis,private
31/01/2018,12:49,kurwa,31/01/2018,12:49,dennis,private
31/01/2018,12:55,kurwa,31/01/2018,12:55,dennis,private
01/04/2018,23:56,kurwa,01/04/2018,23:56,dennis,private
22/05/2018,15:23,kurwa,22/05/2018,15:23,dennis,private
21/10/2018,16:54,kurwa,21/10/2018,16:54,dennis,private
20/11/2018,16:08,kurwa,20/11/2018,16:08,dennis,private
05/02/2019,00:34,kurwa,05/02/2019,00:35,dennis,private
21/02/2019,21:20,kurwa,21/02/2019,21:20,dennis,private
20/03/2019,17:14,kurwa,20/03/2019,17:15,Piotr,private
18/04/2019,15:04,kurwa,18/04/2019,15:05,Piotr,private
12/05/2019,11:04,kurwa,12/05/2019,11:04,dennis,private
16/05/2019,17:18,kurwa,16/05/2019,17:18,dennis,private
22/05/2019,16:39,kurwa,22/05/2019,16:39,dennis,private
01/06/2019,23:58,kurwa,01/06/2019,23:58,dennis,private
02/06/2019,00:47,kurwa,02/06/2019,00:49,Piotr,private
02/06/2019,00:49,kurwa,02/06/2019,00:50,Piotr,private
03/06/2019,19:17,kurwa,03/06/2019,19:17,dennis,private
16/06/2019,19:27,kurwa,16/06/2019,19:27,dennis,private
